,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,CABECERA,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO,RESTO
,DP,DPNOM,DPMP,MPIO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,DP,DPNOM,DPMP,MPIO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,DP,DPNOM,DPMP,MPIO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,05,Antioquia,05001,Medell�n,1.535.955,1.565.394,1.595.095,1.625.321,1.656.333,1.688.394,1.721.767,1.756.711,1.793.491,1.832.197,1.872.241,1.912.860,1.953.293,1.992.781,2.030.560,2.065.871,2.098.618,2.129.874,2.159.609,2.187.831,2.214.494,2.239.003,2.265.244,2.291.378,2.317.336,2.343.049,2.368.282,2.393.011,2.417.325,2.441.123,2.464.322,2.486.723,2.508.452,2.529.403,2.549.537,2.569.007,05,Antioquia,05001,Medell�n,1.479.540,1.503.563,1.528.065,1.553.523,1.580.416,1.609.222,1.640.420,1.674.486,1.711.901,1.752.866,1.796.485,1.841.583,1.886.988,1.931.527,1.974.026,2.013.312,2.049.139,2.083.308,2.115.793,2.146.598,2.175.681,2.201.335,2.228.669,2.255.845,2.282.794,2.309.446,2.335.568,2.361.134,2.386.233,2.410.765,2.434.647,2.457.680,2.479.990,2.501.470,2.522.081,2.541.978,05,Antioquia,05001,Medell�n,56.415,61.831,67.030,71.798,75.917,79.172,81.347,82.225,81.590,79.331,75.756,71.277,66.305,61.254,56.534,52.559,49.479,46.566,43.816,41.233,38.813,37.668,36.575,35.533,34.542,33.603,32.714,31.877,31.092,30.358,29.675,29.043,28.462,27.933,27.456,27.029
1,05,Antioquia,05079,Barbosa,29.092,29.839,30.586,31.326,32.043,32.746,33.423,34.082,34.698,35.307,35.910,36.525,37.143,37.783,38.417,39.067,39.725,40.398,41.069,41.754,42.453,43.165,43.901,44.650,45.414,46.177,46.954,47.722,48.503,49.274,50.052,50.836,51.617,52.395,53.167,53.946,05,Antioquia,05079,Barbosa,10.804,11.130,11.461,11.796,12.134,12.483,12.832,13.204,13.574,13.962,14.357,14.763,15.173,15.595,16.015,16.444,16.872,17.311,17.739,18.174,18.613,19.047,19.496,19.941,20.387,20.832,21.274,21.711,22.145,22.572,23.000,23.428,23.856,24.274,24.686,25.106,05,Antioquia,05079,Barbosa,18.288,18.709,19.125,19.530,19.909,20.263,20.591,20.878,21.124,21.345,21.553,21.762,21.970,22.188,22.402,22.623,22.853,23.087,23.330,23.580,23.840,24.118,24.405,24.709,25.027,25.345,25.680,26.011,26.358,26.702,27.052,27.408,27.761,28.121,28.481,28.840
2,05,Antioquia,05088,Bello,228.927,235.514,242.106,248.705,255.339,261.996,268.685,275.419,282.198,289.036,295.945,302.922,309.979,317.124,324.362,331.726,339.233,346.978,354.967,363.229,371.625,380.105,388.401,396.665,404.895,413.186,421.576,430.034,438.577,447.185,455.865,464.614,473.423,482.287,491.182,500.125,05,Antioquia,05088,Bello,208.324,214.928,221.548,228.190,234.872,241.596,248.380,255.239,262.171,269.206,276.360,283.648,291.091,298.706,306.514,314.536,322.777,331.274,340.024,349.033,358.167,367.381,376.407,385.387,394.320,403.298,412.344,421.434,430.576,439.753,448.959,458.196,467.448,476.711,485.959,495.196,05,Antioquia,05088,Bello,20.603,20.586,20.558,20.515,20.467,20.400,20.305,20.180,20.027,19.830,19.585,19.274,18.888,18.418,17.848,17.190,16.456,15.704,14.943,14.196,13.458,12.724,11.994,11.278,10.575,9.888,9.232,8.600,8.001,7.432,6.906,6.418,5.975,5.576,5.223,4.929
3,05,Antioquia,05212,Copacabana,42.014,43.356,44.684,45.972,47.215,48.402,49.515,50.538,51.455,52.279,53.037,53.737,54.418,55.118,55.874,56.685,57.561,58.463,59.385,60.303,61.230,62.152,63.062,63.975,64.872,65.773,66.665,67.549,68.434,69.302,70.169,71.035,71.885,72.735,73.574,74.406,05,Antioquia,05212,Copacabana,29.207,30.470,31.744,33.019,34.309,35.612,36.934,38.278,39.634,41.005,42.381,43.727,45.023,46.239,47.358,48.378,49.308,50.198,51.077,51.948,52.826,53.692,54.545,55.402,56.241,57.085,57.926,58.775,59.619,60.456,61.274,62.084,62.880,63.656,64.428,65.187,05,Antioquia,05212,Copacabana,12.807,12.886,12.940,12.953,12.906,12.790,12.581,12.260,11.821,11.274,10.656,10.010,9.395,8.879,8.516,8.307,8.253,8.265,8.308,8.355,8.404,8.460,8.517,8.573,8.631,8.688,8.739,8.774,8.815,8.846,8.895,8.951,9.005,9.079,9.146,9.219
4,05,Antioquia,05266,Envigado,92.906,96.998,101.074,105.144,109.198,113.226,117.219,121.171,125.094,128.975,132.830,136.686,140.560,144.485,148.475,152.540,156.694,160.937,165.266,169.667,174.150,178.688,183.296,187.962,192.697,197.493,202.354,207.290,212.283,217.343,222.455,227.644,232.903,238.221,243.609,249.046,05,Antioquia,05266,Envigado,85.845,89.636,93.420,97.204,100.988,104.766,108.534,112.294,116.052,119.806,123.573,127.376,131.232,135.171,139.207,143.345,147.592,151.934,156.365,160.874,165.462,170.107,174.823,179.595,184.431,189.330,194.291,199.319,204.399,209.540,214.730,219.991,225.307,230.675,236.103,241.565,05,Antioquia,05266,Envigado,7.061,7.362,7.654,7.940,8.210,8.460,8.685,8.877,9.042,9.169,9.257,9.310,9.328,9.314,9.268,9.195,9.102,9.003,8.901,8.793,8.688,8.581,8.473,8.367,8.266,8.163,8.063,7.971,7.884,7.803,7.725,7.653,7.596,7.546,7.506,7.481
5,05,Antioquia,05308,Girardota,25.859,26.577,27.284,27.999,28.715,29.432,30.151,30.873,31.600,32.326,33.097,33.893,34.717,35.584,36.486,37.417,38.384,39.381,40.420,41.486,42.581,43.689,44.799,45.930,47.066,48.226,49.398,50.583,51.782,53.006,54.240,55.490,56.755,58.030,59.319,60.617,05,Antioquia,05308,Girardota,13.992,14.453,14.910,15.373,15.837,16.306,16.779,17.259,17.746,18.240,18.756,19.292,19.846,20.423,21.023,21.642,22.279,22.932,23.612,24.309,25.016,25.737,26.453,27.183,27.913,28.653,29.403,30.155,30.912,31.685,32.466,33.259,34.059,34.868,35.682,36.503,05,Antioquia,05308,Girardota,11.867,12.124,12.374,12.626,12.878,13.126,13.372,13.614,13.854,14.086,14.341,14.601,14.871,15.161,15.463,15.775,16.105,16.449,16.808,17.177,17.565,17.952,18.346,18.747,19.153,19.573,19.995,20.428,20.870,21.321,21.774,22.231,22.696,23.162,23.637,24.114
6,05,Antioquia,05360,Itagui,157.513,162.188,166.823,171.394,175.890,180.271,184.522,188.612,192.509,196.231,199.793,203.230,206.585,209.905,213.225,216.600,220.060,223.624,227.317,231.142,234.973,238.769,242.278,245.671,248.931,252.150,255.345,258.520,261.662,264.775,267.851,270.903,273.927,276.916,279.871,282.792,05,Antioquia,05360,Itagui,147.723,151.547,155.330,159.053,162.692,166.217,169.606,172.832,175.868,178.735,181.474,184.141,186.810,189.558,192.449,195.523,198.798,202.227,205.800,209.489,213.187,216.849,220.245,223.531,226.694,229.819,232.925,236.006,239.056,242.078,245.061,248.020,250.947,253.843,256.705,259.530,05,Antioquia,05360,Itagui,9.790,10.641,11.493,12.341,13.198,14.054,14.916,15.780,16.641,17.496,18.319,19.089,19.775,20.347,20.776,21.077,21.262,21.397,21.517,21.653,21.786,21.920,22.033,22.140,22.237,22.331,22.420,22.514,22.606,22.697,22.790,22.883,22.980,23.073,23.166,23.262
7,05,Antioquia,05380,La Estrella,34.369,37.083,39.691,42.133,44.351,46.269,47.808,48.898,49.500,49.630,49.379,48.902,48.383,48.000,47.927,48.228,48.886,49.724,50.647,51.605,52.571,53.550,54.519,55.496,56.471,57.446,58.422,59.400,60.388,61.365,62.348,63.335,64.315,65.300,66.281,67.259,05,Antioquia,05380,La Estrella,20.730,23.049,25.270,27.344,29.213,30.806,32.054,32.896,33.286,33.230,32.791,32.075,31.226,30.367,29.630,29.090,28.770,28.618,28.592,28.704,28.923,29.276,29.700,30.205,30.751,31.350,32.004,32.705,33.466,34.275,35.137,36.061,37.031,38.057,39.126,40.250,05,Antioquia,05380,La Estrella,13.639,14.034,14.421,14.789,15.138,15.463,15.754,16.002,16.214,16.400,16.588,16.827,17.157,17.633,18.297,19.138,20.116,21.106,22.055,22.901,23.648,24.274,24.819,25.291,25.720,26.096,26.418,26.695,26.922,27.090,27.211,27.274,27.284,27.243,27.155,27.009
8,05,Antioquia,05631,Sabaneta,24.249,25.063,25.882,26.713,27.580,28.475,29.414,30.407,31.453,32.555,33.697,34.875,36.064,37.253,38.408,39.530,40.611,41.645,42.627,43.562,44.443,45.265,46.047,46.802,47.536,48.266,48.998,49.727,50.444,51.155,51.860,52.554,53.236,53.914,54.573,55.220,05,Antioquia,05631,Sabaneta,17.314,17.943,18.588,19.255,19.962,20.721,21.547,22.446,23.428,24.487,25.609,26.765,27.924,29.054,30.123,31.116,32.029,32.889,33.703,34.477,35.210,35.893,36.544,37.164,37.780,38.387,38.996,39.597,40.195,40.787,41.372,41.946,42.515,43.074,43.622,44.160,05,Antioquia,05631,Sabaneta,6.935,7.120,7.294,7.458,7.618,7.754,7.867,7.961,8.025,8.068,8.088,8.110,8.140,8.199,8.285,8.414,8.582,8.756,8.924,9.085,9.233,9.372,9.503,9.638,9.756,9.879,10.002,10.130,10.249,10.368,10.488,10.608,10.721,10.840,10.951,11.060
